"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"1",7.6225,7.660714,7.585,7.643214,493729600,6.515212
"2",7.664286,7.699643,7.616071,7.656429,601904800,6.526476
"3",7.656429,7.686786,7.526786,7.534643,552160000,6.422665
"4",7.5625,7.571429,7.466071,7.520714,477131200,6.410791
"5",7.510714,7.571429,7.466429,7.570714,447610800,6.453412
"6",7.6,7.607143,7.444643,7.503929,462229600,6.396483
"7",7.471071,7.491786,7.372143,7.418571,594459600,6.323721
"8",7.423929,7.533214,7.289286,7.523214,605892000,6.41292
"9",7.503929,7.516429,7.465,7.479643,432894000,6.375782
"10",7.533214,7.557143,7.3525,7.354643,594067600,6.269229
"11",7.440357,7.685357,7.401429,7.68,730007600,6.546569
"12",7.675357,7.698214,7.482143,7.561786,612152800,6.445801
"13",7.574286,7.618214,7.400357,7.431071,608154400,6.334378
"14",7.385,7.410714,7.041429,7.0625,881767600,6.020201
"15",7.2325,7.310714,7.149643,7.2525,1065699600,6.18216
"16",7.355357,7.6325,7.235,7.355,1867110000,6.269535
"17",7.3875,7.520714,7.126071,7.424286,1722568400,6.328594
"18",7.318929,7.339286,7.096429,7.1175,1173502400,6.067085
"19",7.181429,7.221429,6.794643,6.859286,1245952400,5.846977
"20",6.870357,7,6.832143,6.954643,749876400,5.928262
"21",6.996786,7.011429,6.906429,6.995,698342400,5.962663
"22",6.970357,7.15,6.943571,7.115357,615328000,6.065257
"23",7.026071,7.084643,6.841786,6.858929,757652000,5.846674
"24",6.879643,7,6.816071,6.980714,850306800,5.950487
"25",6.988929,7.067143,6.928571,6.932857,478270800,5.909691
"26",7.015,7.053571,6.955357,7.006786,632886800,5.97271
"27",6.996071,7.021429,6.937857,6.968571,370361600,5.940135
"28",6.96,7.133929,6.930714,7.095357,550345600,6.048209
"29",7.075357,7.201429,6.982143,7.156429,655468800,6.100268
"30",7.212143,7.274643,7.197143,7.264286,543737600,6.192207
"31",7.2925,7.296786,7.173571,7.233929,436396800,6.16633
"32",7.201071,7.281786,7.175714,7.2475,422825200,6.1779
"33",7.209286,7.257143,7.1825,7.2025,415469600,6.139541
"34",7.226429,7.232143,7.113929,7.157857,390563600,6.101486
"35",7.142857,7.190357,6.989643,7.037857,575094800,5.999196
"36",7.079643,7.194286,7.065714,7.166429,460566400,6.108794
"37",7.049286,7.245,7.031786,7.214286,665126000,6.149586
"38",7.227857,7.3275,7.214286,7.307857,507460800,6.229348
"39",7.348214,7.482143,7.3375,7.463929,550093600,6.362387
"40",7.4975,7.529643,7.419286,7.458929,566546400,6.358126
"41",7.462143,7.495357,7.426429,7.476071,372052800,6.372736
"42",7.474286,7.532857,7.451071,7.525357,366041200,6.41475
"43",7.676429,7.846429,7.665357,7.819643,899620400,6.665603
"44",7.8575,7.860357,7.794643,7.824286,429889600,6.66956
"45",7.796786,8.035714,7.781786,7.965,920259200,6.789508
"46",7.993929,8.052857,7.971429,8.03,596218000,6.844914
"47",7.996786,8.053571,7.975714,8.053571,405700400,6.86501
"48",8.120357,8.133214,8.0625,8.092857,416323600,6.898497
"49",8.049286,8.053571,7.866071,7.994286,493502800,6.814471
"50",8.006429,8.035,7.946786,8.016071,446908000,6.833042
"51",8.032143,8.0875,7.973929,8.004286,450956800,6.822998
"52",8.003571,8.035714,7.950357,8.023214,342109600,6.839133
"53",8.028214,8.044286,7.901071,7.9375,559445600,6.766068
"54",7.873929,8.071429,7.8625,8.026786,456419600,6.842176
"55",8.058571,8.170714,8.003571,8.155714,602431200,6.952075
"56",8.13,8.221429,8.125357,8.191786,597780400,6.982824
"57",8.247143,8.248929,8.080357,8.094643,542284400,6.900019
"58",8.176786,8.283929,8.1625,8.246429,640875200,7.029404
"59",8.321429,8.3525,8.272143,8.299643,540744400,7.074762
"60",8.45,8.481429,8.366071,8.423214,527310000,7.180096
"61",8.410357,8.450357,8.373571,8.392857,430659600,7.154221
"62",8.478929,8.526071,8.3125,8.4275,603145200,7.183753
"63",8.392143,8.518214,8.384643,8.5175,684507600,7.26047
"64",8.507143,8.58,8.464286,8.555,447017200,7.292434
"65",8.555357,8.64,8.523571,8.592857,628502000,7.324704
"66",8.587143,8.626429,8.501429,8.569643,572989200,7.304919
"67",8.6225,8.638929,8.587857,8.635357,334182800,7.360932
"68",8.65,8.681071,8.636071,8.653214,333026400,7.376154
"69",8.637857,8.671429,8.611071,8.658214,306210800,7.380415
"70",8.76,8.778929,8.716786,8.774643,404076400,7.479663
"71",8.777857,8.893929,8.768214,8.89,376784800,7.577995
"72",8.8775,8.969286,8.733929,8.835714,750545600,7.531721
"73",8.8225,8.853214,8.634643,8.823929,566924400,7.521676
"74",8.876429,8.901786,8.677143,8.735357,738326400,7.446174
"75",9.242857,9.294643,9.133214,9.257857,982391200,7.891567
"76",9.222857,9.526786,9.15,9.516786,793424800,8.112279
"77",9.571071,9.720714,9.535714,9.6725,796955600,8.245008
