,Num_Cashiers,Num_Servers,Num_Ushers,Average_Wait_Minutes,Average_Wait_Seconds
0,1,1,1,43,26
1,1,1,2,44,16
2,1,1,3,44,44
3,1,1,4,41,15
4,1,1,5,43,14
5,1,1,6,40,11
6,1,1,7,43,7
7,1,1,8,40,19
8,1,1,9,40,56
9,1,2,1,41,33
10,1,2,2,42,17
11,1,2,3,43,39
12,1,2,4,41,8
13,1,2,5,41,10
14,1,2,6,42,38
15,1,2,7,40,57
16,1,2,8,38,22
17,1,2,9,41,20
18,1,3,1,41,36
19,1,3,2,42,9
20,1,3,3,42,38
21,1,3,4,40,33
22,1,3,5,44,28
23,1,3,6,40,24
24,1,3,7,40,43
25,1,3,8,40,21
26,1,3,9,45,16
27,1,4,1,43,37
28,1,4,2,41,9
29,1,4,3,38,36
30,1,4,4,40,10
31,1,4,5,43,11
32,1,4,6,42,3
33,1,4,7,41,51
34,1,4,8,42,9
35,1,4,9,41,32
36,1,5,1,41,6
37,1,5,2,42,35
38,1,5,3,41,3
39,1,5,4,45,3
40,1,5,5,45,3
41,1,5,6,41,35
42,1,5,7,40,39
43,1,5,8,40,54
44,1,5,9,41,31
45,1,6,1,42,32
46,1,6,2,44,17
47,1,6,3,42,42
48,1,6,4,41,5
49,1,6,5,42,4
50,1,6,6,41,19
51,1,6,7,43,24
52,1,6,8,41,2
53,1,6,9,43,9
54,1,7,1,41,36
55,1,7,2,42,51
56,1,7,3,45,13
57,1,7,4,41,58
58,1,7,5,43,58
59,1,7,6,43,36
60,1,7,7,43,34
61,1,7,8,42,29
62,1,7,9,40,35
63,1,8,1,43,35
64,1,8,2,40,17
65,1,8,3,40,57
66,1,8,4,43,17
67,1,8,5,39,32
68,1,8,6,38,8
69,1,8,7,43,8
70,1,8,8,41,43
71,1,8,9,42,45
72,1,9,1,44,15
73,1,9,2,44,21
74,1,9,3,42,36
75,1,9,4,44,13
76,1,9,5,42,38
77,1,9,6,42,35
78,1,9,7,39,11
79,1,9,8,39,34
80,1,9,9,40,11
81,1,10,1,42,7
82,1,10,2,44,27
83,1,10,3,42,43
84,1,10,4,38,29
85,1,10,5,44,18
86,1,10,6,42,58
87,1,10,7,43,29
88,1,10,8,40,0
89,1,10,9,41,44
90,1,11,1,41,47
91,1,11,2,41,6
92,1,11,3,43,53
93,1,11,4,45,30
94,1,11,5,39,5
95,1,11,6,43,10
96,1,11,7,44,23
97,1,11,8,41,52
98,1,11,9,41,18
99,1,12,1,42,52
100,1,12,2,41,36
101,1,12,3,41,44
102,1,12,4,39,36
103,1,12,5,43,52
104,1,12,6,43,9
105,1,12,7,40,44
106,1,12,8,44,7
107,1,12,9,44,58
108,1,13,1,41,25
109,1,13,2,43,1
110,1,13,3,41,54
111,1,13,4,44,23
112,1,13,5,41,20
113,1,13,6,44,13
114,1,13,7,44,52
115,1,13,8,42,11
116,1,13,9,43,29
117,1,14,1,43,24
118,1,14,2,41,59
119,1,14,3,44,23
120,1,14,4,42,1
121,1,14,5,42,50
122,1,14,6,38,49
123,1,14,7,45,12
124,1,14,8,42,34
125,1,14,9,39,29
126,1,15,1,43,32
127,1,15,2,42,17
128,1,15,3,42,57
129,1,15,4,43,8
130,1,15,5,41,47
131,1,15,6,42,55
132,1,15,7,42,23
133,1,15,8,38,55
134,1,15,9,39,55
135,1,16,1,41,47
136,1,16,2,42,47
137,1,16,3,41,24
138,1,16,4,41,21
139,1,16,5,41,10
140,1,16,6,41,37
141,1,16,7,40,38
142,1,16,8,39,32
143,1,16,9,44,46
144,1,17,1,43,10
145,1,17,2,43,49
146,1,17,3,41,42
147,1,17,4,44,38
148,1,17,5,40,35
149,1,17,6,45,36
150,1,17,7,41,45
151,1,17,8,39,38
152,1,17,9,41,54
153,1,18,1,42,30
154,1,18,2,42,56
155,1,18,3,42,19
156,1,18,4,42,58
157,1,18,5,40,29
158,1,18,6,43,55
159,1,18,7,41,8
160,1,18,8,40,16
161,1,18,9,41,36
162,1,19,1,42,23
163,1,19,2,42,57
164,1,19,3,42,7
165,1,19,4,41,28
166,1,19,5,45,7
167,1,19,6,41,17
168,1,19,7,42,17
169,1,19,8,45,34
170,1,19,9,41,23
171,2,1,1,39,7
172,2,1,2,38,22
173,2,1,3,38,38
174,2,1,4,37,42
175,2,1,5,37,6
176,2,1,6,39,9
177,2,1,7,39,19
178,2,1,8,36,38
179,2,1,9,36,11
180,2,2,1,37,34
181,2,2,2,40,43
182,2,2,3,36,48
183,2,2,4,40,13
184,2,2,5,38,12
185,2,2,6,39,8
186,2,2,7,37,14
187,2,2,8,36,32
188,2,2,9,36,3
189,2,3,1,36,25
190,2,3,2,37,1
191,2,3,3,35,46
192,2,3,4,37,27
193,2,3,5,37,8
194,2,3,6,37,43
195,2,3,7,37,1
196,2,3,8,37,56
197,2,3,9,37,53
198,2,4,1,37,5
199,2,4,2,39,52
200,2,4,3,37,28
201,2,4,4,38,4
202,2,4,5,37,48
203,2,4,6,39,6
204,2,4,7,36,6
205,2,4,8,36,17
206,2,4,9,37,34
207,2,5,1,37,53
208,2,5,2,36,45
209,2,5,3,39,15
210,2,5,4,37,53
211,2,5,5,38,45
212,2,5,6,34,3
213,2,5,7,37,5
214,2,5,8,36,56
215,2,5,9,37,53
216,2,6,1,37,38
217,2,6,2,39,11
218,2,6,3,37,12
219,2,6,4,39,15
220,2,6,5,37,53
221,2,6,6,38,9
222,2,6,7,35,46
223,2,6,8,37,37
224,2,6,9,35,56
225,2,7,1,36,38
226,2,7,2,37,8
227,2,7,3,38,4
228,2,7,4,35,44
229,2,7,5,38,47
230,2,7,6,36,24
231,2,7,7,39,9
232,2,7,8,39,2
233,2,7,9,37,25
234,2,8,1,40,25
235,2,8,2,37,20
236,2,8,3,38,17
237,2,8,4,36,52
238,2,8,5,37,60
239,2,8,6,39,19
240,2,8,7,40,9
241,2,8,8,39,12
242,2,8,9,38,56
243,2,9,1,36,44
244,2,9,2,36,42
245,2,9,3,36,18
246,2,9,4,35,48
247,2,9,5,37,16
248,2,9,6,36,56
249,2,9,7,37,35
250,2,9,8,37,32
251,2,9,9,37,14
252,2,10,1,38,10
253,2,10,2,36,50
254,2,10,3,38,58
255,2,10,4,38,57
256,2,10,5,35,50
257,2,10,6,37,13
258,2,10,7,37,29
259,2,10,8,36,20
260,2,10,9,38,52
261,2,11,1,38,28
262,2,11,2,38,38
263,2,11,3,37,51
264,2,11,4,40,33
265,2,11,5,35,10
266,2,11,6,37,7
267,2,11,7,37,28
268,2,11,8,39,18
269,2,11,9,37,59
270,2,12,1,38,47
271,2,12,2,37,56
272,2,12,3,38,23
273,2,12,4,37,59
274,2,12,5,38,52
275,2,12,6,38,26
276,2,12,7,38,15
277,2,12,8,35,35
278,2,12,9,36,53
279,2,13,1,37,51
280,2,13,2,37,57
281,2,13,3,37,29
282,2,13,4,35,30
283,2,13,5,35,48
284,2,13,6,36,11
285,2,13,7,37,34
286,2,13,8,36,1
287,2,13,9,37,36
288,2,14,1,37,8
289,2,14,2,35,0
290,2,14,3,34,47
291,2,14,4,40,15
292,2,14,5,35,40
293,2,14,6,38,15
294,2,14,7,36,40
295,2,14,8,37,50
296,2,14,9,36,9
297,2,15,1,35,37
298,2,15,2,37,18
299,2,15,3,37,29
300,2,15,4,36,23
301,2,15,5,36,59
302,2,15,6,37,41
303,2,15,7,40,4
304,2,15,8,37,4
305,2,15,9,39,52
306,2,16,1,39,2
307,2,16,2,38,31
308,2,16,3,38,36
309,2,16,4,34,51
310,2,16,5,39,13
311,2,16,6,37,48
312,2,16,7,37,32
313,2,16,8,38,60
314,2,16,9,39,7
315,2,17,1,36,33
316,2,17,2,39,10
317,2,17,3,38,55
318,2,17,4,37,22
319,2,17,5,36,7
320,2,17,6,37,28
321,2,17,7,37,25
322,2,17,8,35,47
323,2,17,9,39,2
324,2,18,1,35,35
325,2,18,2,39,4
326,2,18,3,37,12
327,2,18,4,36,8
328,2,18,5,38,19
329,2,18,6,38,27
330,2,18,7,39,8
331,2,18,8,37,31
332,2,18,9,34,36
333,2,19,1,38,39
334,2,19,2,36,22
335,2,19,3,35,50
336,2,19,4,36,33
337,2,19,5,38,55
338,2,19,6,38,1
339,2,19,7,33,35
340,2,19,8,40,14
341,2,19,9,39,2
342,3,1,1,38,27
343,3,1,2,35,45
344,3,1,3,34,47
345,3,1,4,31,50
346,3,1,5,38,7
347,3,1,6,34,2
348,3,1,7,35,14
349,3,1,8,33,55
350,3,1,9,35,6
351,3,2,1,35,37
352,3,2,2,35,40
353,3,2,3,33,26
354,3,2,4,33,27
355,3,2,5,34,58
356,3,2,6,36,38
357,3,2,7,33,34
358,3,2,8,34,56
359,3,2,9,35,11
360,3,3,1,34,47
361,3,3,2,34,6
362,3,3,3,34,24
363,3,3,4,32,44
364,3,3,5,32,52
365,3,3,6,35,57
366,3,3,7,33,21
367,3,3,8,33,6
368,3,3,9,33,9
369,3,4,1,36,30
370,3,4,2,33,34
371,3,4,3,35,14
372,3,4,4,33,18
373,3,4,5,34,33
374,3,4,6,32,55
375,3,4,7,32,48
376,3,4,8,33,8
377,3,4,9,34,44
378,3,5,1,33,33
379,3,5,2,35,6
380,3,5,3,34,23
381,3,5,4,33,23
382,3,5,5,33,45
383,3,5,6,32,15
384,3,5,7,34,24
385,3,5,8,35,5
386,3,5,9,34,15
387,3,6,1,33,40
388,3,6,2,34,6
