,Num_Cashiers,Num_Servers,Num_Ushers,Average_Wait_Minutes,Average_Wait_Seconds,Total_Wait_Time_Minutes
0,1,1,1,43,26,43.43333333333333
1,1,1,2,44,16,44.266666666666666
2,1,1,3,44,44,44.733333333333334
3,1,1,4,41,15,41.25
4,1,1,5,43,14,43.233333333333334
5,1,1,6,40,11,40.18333333333333
6,1,1,7,43,7,43.11666666666667
7,1,1,8,40,19,40.31666666666667
8,1,1,9,40,56,40.93333333333333
9,1,2,1,41,33,41.55
10,1,2,2,42,17,42.28333333333333
11,1,2,3,43,39,43.65
12,1,2,4,41,8,41.13333333333333
13,1,2,5,41,10,41.166666666666664
14,1,2,6,42,38,42.63333333333333
15,1,2,7,40,57,40.95
16,1,2,8,38,22,38.36666666666667
17,1,2,9,41,20,41.333333333333336
18,1,3,1,41,36,41.6
19,1,3,2,42,9,42.15
20,1,3,3,42,38,42.63333333333333
21,1,3,4,40,33,40.55
22,1,3,5,44,28,44.46666666666667
23,1,3,6,40,24,40.4
24,1,3,7,40,43,40.71666666666667
25,1,3,8,40,21,40.35
26,1,3,9,45,16,45.266666666666666
27,1,4,1,43,37,43.61666666666667
28,1,4,2,41,9,41.15
29,1,4,3,38,36,38.6
30,1,4,4,40,10,40.166666666666664
31,1,4,5,43,11,43.18333333333333
32,1,4,6,42,3,42.05
33,1,4,7,41,51,41.85
34,1,4,8,42,9,42.15
35,1,4,9,41,32,41.53333333333333
36,1,5,1,41,6,41.1
37,1,5,2,42,35,42.583333333333336
38,1,5,3,41,3,41.05
39,1,5,4,45,3,45.05
40,1,5,5,45,3,45.05
41,1,5,6,41,35,41.583333333333336
42,1,5,7,40,39,40.65
43,1,5,8,40,54,40.9
44,1,5,9,41,31,41.516666666666666
45,1,6,1,42,32,42.53333333333333
46,1,6,2,44,17,44.28333333333333
47,1,6,3,42,42,42.7
48,1,6,4,41,5,41.083333333333336
49,1,6,5,42,4,42.06666666666667
50,1,6,6,41,19,41.31666666666667
51,1,6,7,43,24,43.4
52,1,6,8,41,2,41.03333333333333
53,1,6,9,43,9,43.15
54,1,7,1,41,36,41.6
55,1,7,2,42,51,42.85
56,1,7,3,45,13,45.21666666666667
57,1,7,4,41,58,41.96666666666667
58,1,7,5,43,58,43.96666666666667
59,1,7,6,43,36,43.6
60,1,7,7,43,34,43.56666666666667
61,1,7,8,42,29,42.483333333333334
62,1,7,9,40,35,40.583333333333336
63,1,8,1,43,35,43.583333333333336
64,1,8,2,40,17,40.28333333333333
65,1,8,3,40,57,40.95
66,1,8,4,43,17,43.28333333333333
67,1,8,5,39,32,39.53333333333333
68,1,8,6,38,8,38.13333333333333
69,1,8,7,43,8,43.13333333333333
70,1,8,8,41,43,41.71666666666667
71,1,8,9,42,45,42.75
72,1,9,1,44,15,44.25
73,1,9,2,44,21,44.35
74,1,9,3,42,36,42.6
75,1,9,4,44,13,44.21666666666667
76,1,9,5,42,38,42.63333333333333
77,1,9,6,42,35,42.583333333333336
78,1,9,7,39,11,39.18333333333333
79,1,9,8,39,34,39.56666666666667
80,1,9,9,40,11,40.18333333333333
81,1,10,1,42,7,42.11666666666667
82,1,10,2,44,27,44.45
83,1,10,3,42,43,42.71666666666667
84,1,10,4,38,29,38.483333333333334
85,1,10,5,44,18,44.3
86,1,10,6,42,58,42.96666666666667
87,1,10,7,43,29,43.483333333333334
88,1,10,8,40,0,40.0
89,1,10,9,41,44,41.733333333333334
90,1,11,1,41,47,41.78333333333333
91,1,11,2,41,6,41.1
92,1,11,3,43,53,43.88333333333333
93,1,11,4,45,30,45.5
94,1,11,5,39,5,39.083333333333336
95,1,11,6,43,10,43.166666666666664
96,1,11,7,44,23,44.38333333333333
97,1,11,8,41,52,41.86666666666667
98,1,11,9,41,18,41.3
99,1,12,1,42,52,42.86666666666667
100,1,12,2,41,36,41.6
101,1,12,3,41,44,41.733333333333334
102,1,12,4,39,36,39.6
103,1,12,5,43,52,43.86666666666667
104,1,12,6,43,9,43.15
105,1,12,7,40,44,40.733333333333334
106,1,12,8,44,7,44.11666666666667
107,1,12,9,44,58,44.96666666666667
108,1,13,1,41,25,41.416666666666664
