,ORDER_ID,PRODUCT_ID,PAYMENT_METHOD,TOTAL_VALUE,CREATED_AT,STORE_TO_USER_DISTANCE,OBSF_USER_ID,OBSF_STORE_TYPE
0,35394843,2090144731,cash,1940.0,2019-04-15 13:40:19+00:00,488.0,8540,5
1,35419116,2090144731,cc,8900.0,2019-04-16 20:54:24+00:00,4761.0,3990,14
2,35404241,2090144731,cash,150.0,2019-04-15 21:12:49+00:00,3141.0,19052,5
3,35405366,2090144731,cash,400.0,2019-04-15 21:58:28+00:00,3070.0,16978,14
4,35406544,2090144731,cash,9580.0,2019-04-15 23:36:01+00:00,1210.0,9521,5
5,35421204,2090144731,cash,13070.0,2019-04-16 22:55:45+00:00,1210.0,9521,5
6,35415936,2090149053,cc,10300.0,2019-04-16 19:14:37+00:00,2605.0,846,33
7,35412415,2090149059,cc,12200.0,2019-04-16 15:40:21+00:00,4577.0,4403,33
8,35414692,2090149059,cc,8400.0,2019-04-16 18:16:24+00:00,4848.0,18693,48
9,35412415,2090149073,cc,12200.0,2019-04-16 15:40:21+00:00,4577.0,4403,33
10,35417390,2090151363,cash,3900.0,2019-04-16 19:58:35+00:00,4456.0,13072,4
11,35412400,2090151363,cash,2700.0,2019-04-16 15:39:18+00:00,2182.0,7076,4
12,35396053,2090151363,cash,2690.0,2019-04-15 14:42:29+00:00,1590.0,12675,16
13,35397033,2090151363,cash,0.0,2019-04-15 15:43:23+00:00,3176.0,2970,4
14,35397233,2090151363,cash,0.0,2019-04-15 15:57:40+00:00,2876.0,1030,4
15,35413692,2090151363,cc,27250.0,2019-04-16 17:11:47+00:00,76.0,5898,4
16,35399916,2090151364,cc,15350.0,2019-04-15 18:40:10+00:00,678.0,5933,4
17,35400545,2090151364,cc,7800.0,2019-04-15 19:08:21+00:00,1128.0,13910,4
18,35417561,2090151364,cc,14380.0,2019-04-16 20:03:16+00:00,3147.0,18419,4
19,35401512,2090151364,cc,7800.0,2019-04-15 19:40:30+00:00,1905.0,11839,4
20,35402788,2090151364,cc,7800.0,2019-04-15 20:23:33+00:00,3624.0,938,4
21,35402115,2090151364,cash,1300.0,2019-04-15 20:01:54+00:00,2540.0,14122,4
22,35421390,2090145339,cc,12750.0,2019-04-16 23:25:11+00:00,1564.0,13012,5
23,35405075,2090145339,cc,15750.0,2019-04-15 21:44:31+00:00,1649.0,4463,5
24,35406782,2090145339,cc,20150.0,2019-04-16 01:17:50+00:00,4529.0,7035,5
25,35402206,2090145353,cash,1890.0,2019-04-15 20:04:16+00:00,6243.0,914,5
26,35406688,2090145353,cash,5880.0,2019-04-16 00:21:12+00:00,4545.0,1115,14
27,35406740,2090145353,cc,0.0,2019-04-16 00:46:23+00:00,2378.0,11089,5
28,35412251,2090145353,cash,8740.0,2019-04-16 15:26:37+00:00,371.0,10728,5
29,35407368,2090151929,cc,9400.0,2019-04-16 10:09:58+00:00,2748.0,8279,44
30,35414619,2090151951,cash,870.0,2019-04-16 18:11:37+00:00,4482.0,520,44
31,35395995,2090151967,cc,0.0,2019-04-15 14:39:10+00:00,4091.0,214,44
32,35406016,2090144791,cash,2190.0,2019-04-15 22:39:34+00:00,921.0,12195,5
33,35406557,2090144791,cc,9350.0,2019-04-15 23:38:10+00:00,1060.0,6508,5
34,35406759,2090144791,cc,8190.0,2019-04-16 01:00:04+00:00,2097.0,17697,5
35,35410014,2090144791,cash,990.0,2019-04-16 13:32:54+00:00,5963.0,19127,5
36,35421227,2090144791,cc,1650.0,2019-04-16 22:57:27+00:00,2477.0,1315,5
37,35421625,2090144791,cc,6680.0,2019-04-17 00:23:53+00:00,2957.0,9989,5
38,35392069,2090144792,cc,4450.0,2019-04-15 09:27:25+00:00,5430.0,19883,5
39,35403175,2090144792,cc,1390.0,2019-04-15 20:36:36+00:00,1797.0,14803,14
40,35403343,2090144792,cash,0.0,2019-04-15 20:42:25+00:00,1650.0,10733,5
41,35405532,2090144792,cash,1390.0,2019-04-15 22:08:25+00:00,725.0,16786,5
42,35405775,2090144792,cash,0.0,2019-04-15 22:23:39+00:00,6249.0,2905,14
43,35405975,2090144792,cash,130.0,2019-04-15 22:36:38+00:00,5519.0,958,14
44,35405982,2090144792,cc,4980.0,2019-04-15 22:36:54+00:00,4464.0,9760,5
45,35406016,2090144792,cash,2190.0,2019-04-15 22:39:34+00:00,921.0,12195,5
46,35406335,2090144792,cash,0.0,2019-04-15 23:06:05+00:00,5870.0,6026,5
47,35406430,2090144792,cash,1580.0,2019-04-15 23:19:11+00:00,2558.0,4342,5
48,35406510,2090144792,cash,1390.0,2019-04-15 23:29:05+00:00,6180.0,9504,5
49,35406595,2090144792,cc,8370.0,2019-04-15 23:46:17+00:00,1298.0,757,14
50,35411078,2090144792,cash,0.0,2019-04-16 14:17:51+00:00,2985.0,1740,5
51,35421355,2090144792,cash,0.0,2019-04-16 23:17:40+00:00,5427.0,3471,5
52,35421595,2090144792,cc,7130.0,2019-04-17 00:12:41+00:00,4976.0,14633,5
53,35421650,2090144792,cc,6040.0,2019-04-17 00:35:48+00:00,5197.0,20503,14
54,35406339,2090145336,cc,3590.0,2019-04-15 23:06:46+00:00,2527.0,684,5
55,35406446,2090145336,cash,3590.0,2019-04-15 23:21:55+00:00,3053.0,7677,5
56,35406866,2090145336,cash,2960.0,2019-04-16 03:15:54+00:00,3379.0,14580,14
57,35412251,2090145336,cash,8740.0,2019-04-16 15:26:37+00:00,371.0,10728,5
58,35421495,2090145336,cash,12350.0,2019-04-16 23:44:06+00:00,1145.0,13778,14
59,35421576,2090145336,cc,4720.0,2019-04-17 00:05:20+00:00,2279.0,5975,5
60,35421697,2090145336,cash,8630.0,2019-04-17 01:04:37+00:00,4637.0,11460,14
61,35421705,2090145336,cash,7970.0,2019-04-17 01:09:12+00:00,2294.0,28348,5
62,35421775,2090145336,cc,7970.0,2019-04-17 02:07:14+00:00,1751.0,7930,14
63,35421788,2090145336,cash,3450.0,2019-04-17 02:24:29+00:00,2692.0,21020,5
64,35421788,2090145336,cash,3450.0,2019-04-17 02:24:29+00:00,2692.0,21020,5
